,co,no2,o3,wind speed,relative humidity,pm25
co,1.0,0.6159800999517299,-0.6047952693231882,-0.6047952693231882,-0.6047952693231882,-0.1251451314516146
no2,0.6159800999517299,1.0,-0.8059306542597293,-0.8059306542597293,-0.8059306542597293,-0.17276877412890054
o3,-0.6047952693231882,-0.8059306542597293,1.0,1.0,1.0,0.1569062459079513
wind speed,-0.6047952693231882,-0.8059306542597293,1.0,1.0,1.0,0.1569062459079513
relative humidity,-0.6047952693231882,-0.8059306542597293,1.0,1.0,1.0,0.1569062459079513
pm25,-0.1251451314516146,-0.17276877412890054,0.1569062459079513,0.1569062459079513,0.1569062459079513,1.0
