,co,no2,o3,pm25
co,1.0,0.673826773983523,-0.6231346938540537,-0.11877077247993525
no2,0.673826773983523,1.0,-0.7708208831875956,-0.11310779289185122
o3,-0.6231346938540537,-0.7708208831875956,1.0,0.08040008540254256
pm25,-0.11877077247993525,-0.11310779289185122,0.08040008540254256,1.0
