,date,wind speed,relative humidity
4,2022-05-08 09:00:00,18.36,52.725443601338
121,2022-05-08 10:00:00,18.36,51.370753919958
115,2022-05-08 11:00:00,29.52,57.445914140707
49,2022-05-08 12:00:00,31.68,49.273923154696
116,2022-05-08 13:00:00,18.36,65.7585802214905
16,2022-05-08 14:00:00,18.36,42.362374701771
114,2022-05-08 15:00:00,18.36,45.625494580876
62,2022-05-08 16:00:00,40.68,49.10834796698
103,2022-05-08 17:00:00,18.36,55.493664570432
61,2022-05-08 18:00:00,18.36,57.168114947138
106,2022-05-08 19:00:00,18.36,64.0514866151
34,2022-05-08 20:00:00,18.36,56.36085975426
111,2022-05-08 21:00:00,25.92,56.07584487389
110,2022-05-08 22:00:00,18.36,54.110084017545
87,2022-05-08 23:00:00,22.32,63.240936158413
51,2022-05-09 00:00:00,27.72,63.240936158413
56,2022-05-09 01:00:00,20.52,63.101629529279
9,2022-05-09 02:00:00,16.56,65.824827442761
52,2022-05-09 03:00:00,18.36,68.173048569669
132,2022-05-09 04:00:00,16.56,68.527334655366
108,2022-05-09 05:00:00,14.76,65.69233300022
130,2022-05-09 06:00:00,12.96,65.824827442761
50,2022-05-09 07:00:00,11.16,61.174179639918
2,2022-05-09 08:00:00,11.16,54.402421181059
59,2022-05-09 09:00:00,12.96,52.429827732781
20,2022-05-09 10:00:00,24.12,45.141375866801
129,2022-05-09 11:00:00,24.12,45.141375866801
109,2022-05-09 12:00:00,25.92,47.248268299697
100,2022-05-09 13:00:00,18.36,43.875674180323
21,2022-05-09 14:00:00,27.72,43.875674180323
63,2022-05-09 15:00:00,25.92,42.044566007574
93,2022-05-09 16:00:00,18.36,45.60647590053
